Accel_X,Accel_Y,Accel_Z,LDR,Label
0.23,9.78,0.57,85,SEDENTER
0.16,9.79,0.18,80,SEDENTER
0.09,9.87,0.19,80,SEDENTER
0.22,9.9,0.92,85,SEDENTER
0.58,9.73,0.58,82,SEDENTER
0.75,9.76,0.32,80,SEDENTER
0.83,9.87,0.39,81,SEDENTER
0.72,9.93,0.12,80,SEDENTER
0.77,9.86,-0.02,80,SEDENTER
1.07,9.67,-0.1,75,SEDENTER
1.02,9.73,-0.17,77,SEDENTER
1.04,9.91,-0.12,78,SEDENTER
1.24,9.71,-0.01,78,SEDENTER
0.93,9.87,0.05,79,SEDENTER
1.12,9.75,0.19,78,SEDENTER
1.17,9.72,0.21,80,SEDENTER
1.15,9.79,0.03,79,SEDENTER
1.17,9.73,-0.02,76,SEDENTER
1.12,9.67,-0.06,79,SEDENTER
1.13,9.78,0.01,80,SEDENTER
1.27,9.6,-0.13,79,SEDENTER
1.26,9.66,0.02,77,SEDENTER
1.42,9.72,-0.1,77,SEDENTER
1.27,9.79,-0.03,79,SEDENTER
1.3,9.76,-0.03,78,SEDENTER
1.33,9.73,-0.08,77,SEDENTER
1.28,9.78,0.02,76,SEDENTER
1.41,9.73,-0.09,77,SEDENTER
1.37,9.75,0.07,76,SEDENTER
1.39,9.72,-0.08,77,SEDENTER
1.33,9.74,0.0,78,SEDENTER
1.28,9.73,-0.02,80,SEDENTER
1.3,9.84,-0.05,80,SEDENTER
1.31,9.75,-0.0,78,SEDENTER
1.45,9.68,-0.06,77,SEDENTER
1.32,9.91,-0.14,77,SEDENTER
1.36,9.79,-0.14,74,SEDENTER
1.4,9.78,-0.16,74,SEDENTER
1.23,9.76,-0.02,74,SEDENTER
1.39,9.74,-0.1,71,SEDENTER
1.26,9.62,0.16,74,SEDENTER
1.29,10.43,0.09,79,SEDENTER
-0.86,9.49,4.1,14,SEDENTER
-0.52,9.0,4.23,37,SEDENTER
-0.14,9.22,3.86,80,SEDENTER
-0.2,9.47,2.95,84,SEDENTER
0.02,9.51,1.84,94,SEDENTER
-0.32,9.84,1.96,84,SEDENTER
-0.19,9.56,2.26,93,SEDENTER
-0.15,9.66,2.09,92,SEDENTER
-0.17,9.58,2.01,90,SEDENTER
-0.27,9.73,2.06,82,SEDENTER
-0.12,9.61,2.06,93,SEDENTER
-0.32,9.74,2.04,92,SEDENTER
-0.19,9.8,1.94,90,SEDENTER
-0.0,9.67,1.86,81,SEDENTER
-0.09,9.61,1.88,91,SEDENTER
-0.02,9.71,1.81,89,SEDENTER
-0.11,9.6,1.83,91,SEDENTER
-0.01,9.66,1.95,93,SEDENTER
-0.17,9.71,1.94,93,SEDENTER
0.04,9.51,1.9,80,SEDENTER
-0.06,9.73,2.02,79,SEDENTER
-0.06,9.75,1.95,97,SEDENTER
-0.1,9.88,1.87,96,SEDENTER
-0.01,9.73,1.99,82,SEDENTER
0.07,9.71,1.94,86,SEDENTER
-0.07,9.68,2.18,96,SEDENTER
0.03,9.59,2.09,95,SEDENTER
-0.03,9.67,2.15,97,SEDENTER
0.11,9.67,2.14,98,SEDENTER
0.02,9.7,2.19,80,SEDENTER
0.1,9.59,2.1,98,SEDENTER
-0.04,9.65,2.32,99,SEDENTER
-0.09,9.63,2.31,100,SEDENTER
0.0,9.54,2.18,88,SEDENTER
-0.11,9.7,2.42,100,SEDENTER
-0.06,9.54,2.39,89,SEDENTER
-0.08,9.65,2.54,97,SEDENTER
-0.12,9.61,2.49,100,SEDENTER
-0.07,9.57,2.44,101,SEDENTER
-0.0,9.32,2.45,83,SEDENTER
0.06,9.67,2.25,96,SEDENTER
0.05,9.5,2.48,87,SEDENTER
-0.0,9.59,2.32,95,SEDENTER
-0.09,9.68,2.42,90,SEDENTER
-0.02,9.52,2.42,94,SEDENTER
0.01,9.65,2.36,82,SEDENTER
-0.11,9.7,2.35,85,SEDENTER
-0.04,9.58,2.53,86,SEDENTER
-0.12,9.67,2.47,99,SEDENTER
0.02,9.6,2.57,100,SEDENTER
-0.07,9.62,2.48,102,SEDENTER
-0.1,9.55,2.66,100,SEDENTER
-0.13,9.58,2.64,102,SEDENTER
-0.13,9.52,2.84,103,SEDENTER
-0.06,9.59,2.62,94,SEDENTER
